date,total_like,fitness_like,total_save,fitness_save,fitness_total,total_like_save,fitness_share_likesaves,total_workout_minutes,active_energy_total,resting_energy_total,avg_heart_rate,max_heart_rate,intensity_avg,step_count_total,workout_done
2025-01-20,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,55.0,1.0,0.0,0.0,1.0,55.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-25,28.0,0.0,0.0,0.0,0.0,28.0,0.0,20.433333333333334,107.40053650466388,4.590071968249326,100.65305704074476,141.0,3.1139556094372938,230.00000000000003,1.0
2025-01-26,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,37.0,1.0,0.0,0.0,1.0,37.0,0.02702702702702703,20.5,109.35630493781696,3.693298721475614,97.05712341044894,142.0,3.2835985244177386,238.00000000000009,1.0
2025-01-28,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,82.0,1.0,0.0,0.0,1.0,82.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,52.0,0.0,0.0,0.0,0.0,52.0,0.0,20.166666666666668,181.39152165124696,3.727944,130.26937963306722,163.0,7.466394728142859,279.73561234979064,1.0
2025-01-31,38.0,0.0,0.0,0.0,0.0,38.0,0.0,19.283333333333335,145.45639994359746,6.163601502138967,122.21928995578696,157.0,6.178494641804594,387.2661613220249,1.0
2025-02-01,51.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,58.0,0.0,0.0,0.0,0.0,58.0,0.0,8.35,45.878697454241944,5.946769210184872,105.80250462426278,132.0,3.843275523256814,0.0,1.0
2025-02-03,74.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,43.0,0.0,0.0,0.0,0.0,43.0,0.0,42.166666666666664,258.3150000000021,5.684263981010455,111.7200496753332,160.0,4.337963753530399,720.4336961975483,1.0
2025-02-05,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-08,22.0,0.0,0.0,0.0,0.0,22.0,0.0,27.7,240.5775349039039,2.2236993426160137,133.91915652933594,175.0,7.0631637593532215,611.9999999999999,1.0
2025-02-09,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,42.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,53.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,44.0,1.0,0.0,0.0,1.0,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,29.0,1.0,0.0,0.0,1.0,29.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,8.0,0.0,0.0,0.0,0.0,8.0,0.0,29.566666666666666,69.13675625721291,4.132597235987578,79.17674055082679,108.0,2.3068379428904247,1743.2131510874472,1.0
2025-02-18,6.0,0.0,0.0,0.0,0.0,6.0,0.0,46.333333333333336,241.45586443917745,4.846877976872117,108.65104135089818,146.0,3.1904606155983224,499.6659272211372,1.0
2025-02-19,13.0,0.0,0.0,0.0,0.0,13.0,0.0,102.2,440.78606498618797,8.767954730478285,95.89268974790829,136.0,3.4589581355811934,4695.027629714858,1.0
